City,Year,Population
Barnet,2021,396709
Barnet,2022,401228
Barnet,2023,404786
Bexley,2021,248342
Bexley,2022,250251
Bexley,2023,251621
Brent,2021,324312
Brent,2022,328055
Brent,2023,331233
Bromley,2021,331392
Bromley,2022,333584
Bromley,2023,335018
Camden Town,2021,273371
Camden Town,2022,276041
Camden Town,2023,278395
City of London,2021,10242
City of London,2022,10149
City of London,2023,10060
City of Westminster,2021,263765
City of Westminster,2022,266036
City of Westminster,2023,267927
Ealing,2021,336421
Ealing,2022,340103
Ealing,2023,343371
Fulham,2021,180206
Fulham,2022,182109
Fulham,2023,184183
Greenwich,2021,287924
Greenwich,2022,291816
Greenwich,2023,295185
Hackney,2021,278991
Hackney,2022,281399
Hackney,2023,283288
Haringey,2021,263427
Haringey,2022,266201
Haringey,2023,268442
Hounslow,2021,269463
Hounslow,2022,272984
Hounslow,2023,275916
Islington,2021,243566
Islington,2022,245636
Islington,2023,247369
Lambeth,2021,315740
Lambeth,2022,317763
Lambeth,2023,319558
Lewisham,2021,303148
Lewisham,2022,305940
Lewisham,2023,308057
Merton,2021,204399
Merton,2022,206059
Merton,2023,207241
Newham,2021,352640
Newham,2022,359093
Newham,2023,364878
Redbridge,2021,303934
Redbridge,2022,307410
Redbridge,2023,310092
Richmond ,2021,196115
Richmond ,2022,197362
Richmond ,2023,198007
Royal Kensington and Chelsea,2021,153672
Royal Kensington and Chelsea,2022,153903
Royal Kensington and Chelsea,2023,154055
Southwark,2021,315651
Southwark,2022,319084
Southwark,2023,322199
Thornton Heath,2021,386905
Thornton Heath,2022,390382
Thornton Heath,2023,392839
Tower Hamlets,2021,328788
Tower Hamlets,2022,334312
Tower Hamlets,2023,339666
Waltham Forest,2021,275409
Waltham Forest,2022,278635
Waltham Forest,2023,280936
Wandsworth,2021,323968
Wandsworth,2022,327016
Wandsworth,2023,329739
